city,d,cut_u,cut_v,cut_first,cut_hops,entry_diam_m,cut_substrate
Amsterdam,46206669,46204401,1527945463,1,0,77.9,1
Amsterdam,46249143,298220969,46251377,0,3,116.1,1
Amsterdam,46249918,11375059116,46251899,1,0,10.2,1
Amsterdam,46264173,46271273,12193381043,0,7,86.6,1
Amsterdam,46266650,46271273,12193381043,0,7,39.0,1
Amsterdam,46328500,1984393207,46335523,1,0,100.8,1
Amsterdam,46335125,46335125,46335690,1,0,61.6,1
Amsterdam,46336052,1618807164,1616987398,0,5,100.7,1
Amsterdam,46336665,1618807164,1616987398,0,8,108.9,1
Amsterdam,46375408,7411165471,7411165450,1,0,47.5,1
Amsterdam,46383470,46383468,46384612,0,3,80.8,1
Amsterdam,46389668,46396298,46399461,0,2,86.2,1
Amsterdam,46405687,7126958723,3939863316,0,2,174.3,1
Amsterdam,46411017,46410377,46407668,1,0,129.9,1
Amsterdam,46431917,46440440,3651666332,0,2,128.0,1
Amsterdam,46467229,46463656,46462765,0,2,87.7,1
Amsterdam,46473657,3731359571,46473684,1,0,85.1,1
Amsterdam,46489067,7883614502,46485461,1,0,98.0,1
Amsterdam,46499694,46499694,46499185,1,0,27.8,1
Amsterdam,46544791,46546624,46552592,1,0,131.7,1
Amsterdam,46547509,46513432,13017281144,0,13,41.3,1
Amsterdam,75665280,1618807164,1616987398,0,21,95.5,1
Amsterdam,262890788,12048044683,11293422867,0,2,53.0,1
Amsterdam,460441709,46282636,46281804,1,0,96.6,1
Amsterdam,794301414,11200886817,5837272326,1,0,101.0,1
Amsterdam,940042043,46409649,3073085594,1,0,71.0,1
Amsterdam,1263124731,1618807164,1616987398,0,30,52.6,1
Amsterdam,1359387752,1359387726,1359387754,0,2,62.6,1
Amsterdam,1359387759,46513432,13017281144,0,13,123.2,1
Amsterdam,1420479344,9869209562,1420479319,1,0,77.5,1
Amsterdam,1511600045,1511600048,1511600054,1,0,73.6,1
Amsterdam,1596178397,6321370036,46287916,1,0,30.7,1
Amsterdam,1715273753,46381573,46384278,1,0,80.4,1
Amsterdam,1833960246,1833960246,1833960251,1,0,34.0,1
Amsterdam,2262683375,1805853725,26596415,0,4,82.8,1
Amsterdam,3175895405,3175895405,3183590862,1,0,68.2,1
Amsterdam,4729918422,6039190061,46432453,0,1,157.4,1
Amsterdam,4743959148,6320898787,1851478043,0,1,47.3,1
Amsterdam,4821599020,9275535117,4821599021,1,0,51.9,1
Amsterdam,5171787622,1618807164,1616987398,0,12,60.9,1
Amsterdam,5213036077,46371955,1747377922,0,3,98.3,1
Amsterdam,5852185311,1618807164,1616987398,0,11,68.0,1
Amsterdam,5859007113,63557236,46321652,1,0,100.3,1
Amsterdam,6239303038,46252183,11081725593,1,0,39.6,1
Amsterdam,6796780752,6796780752,678459366,1,0,101.3,1
Amsterdam,7124646368,7124646368,7124646334,1,0,17.8,1
Amsterdam,7880730309,8489045140,7880730310,1,0,24.0,1
Amsterdam,7886095726,46484985,46485052,1,0,89.5,1
Amsterdam,7887074221,46203913,46207953,0,3,136.8,1
Amsterdam,7889568436,46513432,13017281144,0,6,190.4,1
Amsterdam,7916552429,7908188673,7916552479,1,0,18.3,1
Amsterdam,8011011931,8011011941,5385801773,0,1,43.0,1
Amsterdam,8163946870,8163946869,8163946866,1,0,53.7,1
Amsterdam,8340035244,428763763,46393442,1,0,142.3,1
Amsterdam,8699225628,8719738602,12157614809,1,0,33.0,1
Amsterdam,9861343403,9861343410,46414663,0,2,51.0,1
Amsterdam,9994804154,9994804153,9991536754,1,0,35.7,1
Amsterdam,10006078012,10006078012,5911723779,1,0,174.1,1
Amsterdam,10128214173,10128214167,10128214125,1,0,64.4,1
Amsterdam,10204872903,46546263,12057136248,1,0,72.6,1
Amsterdam,10555373720,10555373718,3754752534,0,1,8.5,1
Amsterdam,10584629971,10584629972,10584629970,1,0,6.8,1
Amsterdam,10585373288,10585373287,46225923,1,0,25.7,1
Amsterdam,10693951339,10693951346,10693951333,1,0,24.7,1
Amsterdam,10799514722,10799514729,46433993,1,0,60.2,1
Amsterdam,11293422861,12048040666,12063476083,0,2,133.0,1
Amsterdam,11431874081,11431874076,46453688,1,0,21.8,1
Amsterdam,12022263753,12026801506,4821716610,1,0,36.2,1
Amsterdam,12212407120,255844509,46177783,1,0,100.3,1
Amsterdam,12631632169,46397190,46396670,0,5,46.9,1
Amsterdam,12655469626,12612955125,46234824,1,0,101.6,1
Amsterdam,12987508333,8040805036,46289014,1,0,61.4,1
Barcelona,30253333,30253333,5023791993,1,0,111.4,1
Barcelona,30294656,330417405,330417666,1,0,155.1,1
Barcelona,30333441,30554658,30556625,0,2,70.2,1
Barcelona,30556617,8386512370,364722133,1,0,51.6,1
Barcelona,30617337,30617337,3007591790,1,0,107.2,1
Barcelona,30960639,30960628,412446735,1,0,59.5,1
Barcelona,30960805,1225083271,513342399,1,0,93.5,1
Barcelona,395305579,395305579,434464804,1,0,76.3,1
Barcelona,512003089,512003089,4127394646,1,0,22.8,1
Barcelona,534332665,534332516,1431153131,0,1,59.4,1
Barcelona,566450893,566450893,1817544297,1,0,101.3,1
Barcelona,597218402,597218402,30297379,1,0,50.8,1
Barcelona,658169112,1071400892,11459385420,0,9,119.3,1
Barcelona,674780716,1174647432,1496412815,1,0,101.1,1
Barcelona,1001228568,1001228541,616512964,0,3,42.0,1
Barcelona,1071400892,1071400892,11459385420,1,0,166.6,1
Barcelona,1299414813,1381912196,6039142040,1,0,58.0,1
Barcelona,1350170559,1350170511,1298740508,1,0,57.9,1
Barcelona,1350466761,416116752,416116751,1,0,50.5,1
Barcelona,1350686227,1816394964,583321777,0,8,397.6,1
Barcelona,1484164576,1402987469,2239890983,1,0,137.1,1
Barcelona,1501426310,364997570,1401592166,1,0,91.1,1
Barcelona,1501426324,364997570,1401592166,0,1,91.0,1
Barcelona,1563547709,387130662,9090670821,0,2,55.9,1
Barcelona,1599256602,1599256199,1599256248,1,0,168.4,1
Barcelona,1772825227,1374370026,1374370416,0,8,201.8,1
Barcelona,1817382286,1374370026,1374370416,0,11,16.1,1
Barcelona,2239783567,2239783567,885308294,1,0,24.8,1
Barcelona,2279497342,2279497342,2528526773,1,0,69.1,1
Barcelona,2529520245,2529520245,30227487,1,0,50.1,1
Barcelona,2703938174,2703938174,629328005,1,0,50.6,1
Barcelona,2871521890,1350170123,1003235963,1,0,123.1,1
Barcelona,3502009394,243341469,293527271,0,3,65.2,1
Barcelona,4112026312,12955993771,959409822,0,15,27.7,1
Barcelona,4251161420,12817237198,4251161454,0,8,138.4,1
Barcelona,4251161454,4251161454,1259351736,1,0,44.1,1
Barcelona,4251794080,4251794080,4251794889,1,0,24.7,1
Barcelona,4253982146,4253982146,566746722,1,0,35.7,1
Barcelona,4318409704,3045198147,597933814,1,0,47.9,1
Barcelona,4387293874,4387294101,4387293882,0,8,115.7,1
Barcelona,4387294101,4387293882,5848052449,1,0,53.4,1
Barcelona,4454226365,4454226365,30253202,1,0,17.1,1
Barcelona,6103772408,8151705401,412452514,0,3,35.3,1
Barcelona,6382660358,6382660358,30297035,1,0,76.8,1
Barcelona,6413205593,10284776577,629306831,0,1,113.2,1
Barcelona,6485634277,6485634281,4253982150,1,0,41.9,1
Barcelona,7078045305,420058174,7078045379,1,0,117.0,1
Barcelona,7302027445,4111733920,4111733899,1,0,16.3,1
Barcelona,7538034841,31286185,30689056,1,0,19.4,1
Barcelona,9442685034,1926250851,1075627980,0,1,115.1,1
Barcelona,9465476414,9465476413,1908547749,1,0,31.6,1
Barcelona,11244319933,2501419508,30253278,1,0,197.4,1
Barcelona,11283451737,8169080626,598221965,0,1,110.8,1
Barcelona,12469949090,408397910,600061499,0,1,32.2,1
Barcelona,12475540910,2239777362,2112547571,0,3,37.9,1
Barcelona,12859738691,904641331,12856608727,0,1,23.1,1
Paris,15864053,1666520431,382051,0,1,116.2,1
Paris,32560721,32560721,32560723,1,0,50.3,1
Paris,36476557,36476558,63111356,1,0,57.0,1
Paris,82409084,82409081,250548981,1,0,112.1,1
Paris,94196276,94196276,7306667874,1,0,96.2,1
Paris,94236061,94227304,94227239,1,0,46.6,1
Paris,145990870,116139382,116139243,1,0,33.3,1
Paris,166417416,169290795,169290803,1,0,183.6,1
Paris,174986032,6407116595,329113140,0,2,72.7,1
Paris,245272062,245272062,1088437014,1,0,106.7,1
Paris,258047121,258047128,258047075,1,0,32.1,1
Paris,260657623,1027146301,260661668,1,0,54.2,1
Paris,271447320,3220375623,271447325,1,0,17.4,1
Paris,272678705,272678408,361120,1,0,12.9,1
Paris,340855540,5356987012,10606067641,1,0,154.6,1
Paris,368465823,16818187,11527591627,0,4,34.7,1
Paris,370347362,370347362,370347366,1,0,55.5,1
Paris,406714224,25033163,25033162,1,0,58.8,1
Paris,627091886,26400877,693492407,1,0,59.3,1
Paris,774793077,152738831,17809169,1,0,72.1,1
Paris,1381775678,26401658,368142,1,0,59.3,1
Paris,1390845025,14956551,568195270,0,1,82.0,1
Paris,1484054992,1519498106,1519498112,1,0,65.9,1
Paris,1489725286,1736756734,622022886,0,2,72.5,1
Paris,1920074478,225741028,34909834,1,0,95.5,1
Paris,1961531242,1961531247,1961531244,1,0,39.5,1
Paris,2064552414,2064552414,25290184,1,0,33.2,1
Paris,2113426686,2113426686,6365475163,1,0,22.3,1
Paris,2320354492,2320354492,1758970671,1,0,33.4,1
Paris,2406388141,367887,4172601063,1,0,140.5,1
Paris,2503349653,2573626639,7036647715,1,0,44.1,1
Paris,2548427905,7740509641,25289976,1,0,44.0,1
Paris,2555356748,27373455,2555330137,0,5,136.6,1
Paris,2942540604,2942540599,2942540597,0,2,54.7,1
Paris,3520025512,34845766,277743794,1,0,9.3,1
Paris,4271473111,4271473120,123468439,0,1,114.3,1
Paris,5359042379,8005676987,6390280940,0,1,35.2,1
Paris,5487024374,5700604921,263332511,1,0,69.1,1
Paris,6151694004,7794331238,175106748,0,1,53.8,1
Paris,6395644975,143653569,3233942822,1,0,59.4,1
Paris,7709505715,7709505717,304488238,1,0,70.8,1
Paris,7740607854,1088437038,1952938973,0,2,72.8,1
Paris,7973699423,1254700857,4702554519,1,0,31.3,1
Paris,8772397400,250350929,100292096,0,2,48.7,1
Paris,8824722819,690201841,123498361,1,0,39.1,1
Paris,11370970546,11370970546,36468210,1,0,76.7,1
Seattle,35258293,35258291,30759570,1,0,37.3,1
Seattle,53142478,53142497,10920953320,0,4,111.9,1
Seattle,53211491,2896473005,53209107,1,0,30.6,1
Seattle,544354635,544354639,60652381,1,0,33.6,1
Seattle,667762771,3892263070,60004951,1,0,28.7,1
Seattle,721770334,721770372,3679231742,1,0,39.3,1
Seattle,1735549665,5442471803,60650150,0,1,45.2,1
Seattle,2049260460,2137828417,1693333724,0,1,21.2,1
Seattle,2967885198,853045290,11046035087,1,0,19.2,1
Seattle,3484719554,9837271656,9837271657,0,1,27.5,1
Seattle,3649624717,3649624717,53092577,1,0,22.7,1
Seattle,3651401352,7308322751,53138342,0,1,87.9,1
Seattle,3663838722,3855507227,3663838718,1,0,14.2,1
Seattle,3673859862,53154515,5426190195,0,9,111.7,1
Seattle,3674193479,3674193473,4726697714,1,0,107.7,1
Seattle,3874100570,5766703917,11068695285,1,0,31.4,1
Seattle,4286768046,4286768045,53091667,1,0,63.2,1
Seattle,4301237600,1716569452,4927616966,0,24,18.8,1
Seattle,4410553250,3786447259,3786447265,1,0,114.0,1
Seattle,4421220866,53046239,53134566,0,7,84.5,1
Seattle,4421221728,5426190378,5426190374,1,0,36.0,1
Seattle,4421221766,4435499982,8347465693,1,0,46.7,1
Seattle,4760264212,4760264213,281336796,1,0,12.0,1
Seattle,5118516841,5118516841,5118516843,1,0,51.2,1
Seattle,5426190186,5426766025,3673859881,1,0,41.5,1
Seattle,5429351291,5429351293,1202094163,1,0,46.0,1
Seattle,5431148473,5431148473,53124762,1,0,34.9,1
Seattle,5431808658,5431559259,53209250,1,0,15.4,1
Seattle,5435451172,5435451173,53079478,1,0,49.2,1
Seattle,5440430121,3963142459,53142136,1,0,21.8,1
Seattle,5764731873,2492759089,32270827,1,0,28.2,1
Seattle,7085587331,53123218,53090780,0,3,60.5,1
Seattle,9532281706,9532281707,3346758543,1,0,42.7,1
Seattle,9532355960,1725944956,32268456,1,0,55.0,1
Seattle,9730497438,9730497433,5251212310,1,0,24.1,1
Seattle,9823610301,2315993772,7623398038,1,0,19.3,1
Seattle,10068754126,10068754126,3972495340,1,0,34.8,1
Seattle,10136750300,10136750297,10136750296,1,0,15.7,1
Seattle,10772443165,4399674134,53207160,1,0,9.0,1
Seattle,10886980344,10886980337,1926509619,1,0,14.5,1
New York City,42427070,3785702998,8152930806,0,11,232.7,1
New York City,42447242,42447242,42427070,1,0,549.1,1
New York City,42476111,551624495,42476115,1,0,56.0,1
New York City,42480716,42480716,42480721,1,0,48.9,1
New York City,42495072,42495072,42495076,1,0,68.3,1
New York City,42496352,42496352,42523544,1,0,44.8,1
New York City,42500215,4729824989,4729763662,0,7,67.0,1
New York City,42509615,42506672,42506668,0,1,59.2,1
New York City,42518716,42518716,3658729749,1,0,20.8,1
New York City,42519361,42519361,42519358,1,0,29.5,1
New York City,42730353,42730353,5490801754,1,0,29.8,1
New York City,42735262,854833092,2327413908,0,4,123.6,1
New York City,42743386,42767978,42751920,1,0,58.0,1
New York City,42766568,42727690,42740159,0,14,64.5,1
New York City,42782175,42761626,42774298,1,0,101.2,1
New York City,42786427,4874331315,42797342,0,9,65.3,1
New York City,42950794,42950788,42950784,1,0,59.9,1
New York City,42953428,42950940,42993849,0,2,126.6,1
New York City,42968666,42968666,42974871,1,0,169.2,1
New York City,42972375,12177266059,7404226868,1,0,65.3,1
New York City,43026210,43026203,8234561782,1,0,59.1,1
New York City,102993145,102993145,102992861,1,0,110.7,1
New York City,247118712,247086017,247080924,0,2,248.4,1
New York City,279200082,2868813802,5559232824,0,3,52.9,1
New York City,422122659,8887065825,42961257,0,2,83.7,1
New York City,592484776,42424864,42423456,0,2,101.8,1
New York City,607911351,3274291207,279151954,1,0,69.8,1
New York City,701654537,11014606928,4145735059,0,2,68.3,1
New York City,740202296,740202317,740202319,0,1,171.9,1
New York City,763220048,763220066,763220063,0,5,101.1,1
New York City,1424163333,1424163333,42469496,1,0,54.5,1
New York City,1570051323,1570051323,9622682885,1,0,65.8,1
New York City,1941708239,4874331315,42797342,0,6,47.5,1
New York City,2522345470,42492309,42492312,1,0,22.1,1
New York City,2565077243,5487757071,5487757072,1,0,23.9,1
New York City,2570541610,42864070,42809868,0,1,98.9,1
New York City,2716092088,11052524076,2716026127,1,0,54.2,1
New York City,2845116283,10866743526,42757892,1,0,98.0,1
New York City,2876631882,2876631927,42889978,0,4,25.1,1
New York City,2889362122,5487882017,42724486,0,5,46.4,1
New York City,3295750091,3295750099,3298185345,0,1,92.6,1
New York City,3310141783,3310141790,3310141792,1,0,33.5,1
New York City,3509134773,410544431,410544474,1,0,85.8,1
New York City,3658729746,3658729749,3154320975,1,0,59.3,1
New York City,3785702998,3785702998,8152930806,1,0,25.4,1
New York City,4207683796,4207683796,42442889,1,0,48.6,1
New York City,4359063907,10028578350,5319036535,1,0,35.9,1
New York City,4562144528,4562144509,42527875,0,1,64.5,1
New York City,4792148752,4792148751,42525924,1,0,37.1,1
New York City,5244355654,5244360285,5244355664,1,0,23.9,1
New York City,5331175891,5331175891,42979045,1,0,80.3,1
New York City,5482739908,5482739920,42730131,1,0,49.9,1
New York City,5482751754,12834527395,461054945,0,5,33.1,1
New York City,5487787906,5487787909,42523094,1,0,22.5,1
New York City,5487966186,42504607,42493338,0,6,50.4,1
New York City,5488475475,5488475475,42466801,1,0,23.0,1
New York City,5488802851,5488802844,42468943,1,0,34.1,1
New York City,5490200725,5490200756,447832829,0,3,80.2,1
New York City,5490237310,5490237313,42978735,1,0,25.6,1
New York City,5490239817,42978045,42978048,0,3,47.7,1
New York City,5490647779,5490647780,42881650,1,0,23.6,1
New York City,5490764966,5490764964,5490764969,0,2,36.4,1
New York City,5511403888,1012642818,42886898,1,0,28.5,1
New York City,5542680320,8847352139,42442977,1,0,40.5,1
New York City,5591684348,5591684340,42851185,1,0,309.7,1
New York City,5633092885,5633092885,43008091,1,0,45.4,1
New York City,5969626068,4378191708,4378191692,0,6,15.8,1
New York City,6069788569,8620532517,42435632,1,0,53.3,1
New York City,6517112874,6517112877,6358216214,1,0,65.1,1
New York City,6852817862,6852817869,6852817863,1,0,15.3,1
New York City,6856727460,4562863353,42428016,1,0,126.4,1
New York City,6912997228,6912997188,5490480513,0,10,32.0,1
New York City,6944173478,6944173191,274286558,1,0,36.5,1
New York City,7153388593,42888688,42926417,1,0,63.5,1
New York City,7154086680,5487758244,42860174,1,0,31.6,1
New York City,7187138251,7187138251,42516233,1,0,83.3,1
New York City,7262048929,7260110742,7260110743,0,2,36.0,1
New York City,7529909890,7529909894,42448857,0,2,42.5,1
New York City,7776323315,7672123701,42983670,1,0,18.3,1
New York City,7980767176,4874331315,42797342,0,44,86.5,1
New York City,7991293490,7991293486,42832852,1,0,53.7,1
New York City,8288359109,8682244575,42854743,1,0,19.5,1
New York City,8396036443,42442410,42442415,1,0,104.3,1
New York City,8427466349,4604441065,1934650072,0,2,56.0,1
New York City,8430423167,4874331315,42797342,0,56,21.8,1
New York City,8430568197,4874331315,42797342,0,60,44.3,1
New York City,8479232349,8479232349,42876628,1,0,48.3,1
New York City,8653966168,8653966167,42769214,1,0,69.9,1
New York City,8667656781,8667656781,8667656774,1,0,100.5,1
New York City,8840333846,8840333846,8840333851,1,0,46.8,1
New York City,8886860809,8886860809,9851401679,1,0,71.6,1
New York City,8997098205,8997098208,42813859,1,0,88.8,1
New York City,9328192136,106064636,1957257298,0,26,75.6,1
New York City,9431534462,9203619927,42728689,0,1,42.2,1
New York City,9440601356,5487836583,5487836572,1,0,23.5,1
New York City,9902399061,9902399056,4557495130,1,0,12.4,1
New York City,9989967345,11737486805,42833618,1,0,34.0,1
New York City,10213036736,10213036746,10213036735,1,0,107.4,1
New York City,10289112179,5147693382,42829095,0,1,33.9,1
New York City,10684406368,6497126472,5438406081,1,0,26.2,1
New York City,10774439599,7708763530,42832534,1,0,64.6,1
New York City,11045308222,7192545133,42957933,0,2,18.1,1
New York City,11107965045,11107965045,13006259002,1,0,30.8,1
New York City,11184435646,42810260,7873818331,0,2,143.6,1
New York City,11292288407,42886595,42886591,0,3,39.9,1
New York City,11330020306,11330009602,3451511635,0,1,20.3,1
New York City,11335286477,599044264,8874189962,0,4,193.7,1
New York City,11620144705,2795447512,2795447513,1,0,33.2,1
New York City,11910331869,5490149236,10133930930,0,1,51.6,1
New York City,11925988621,8288560711,12096650285,0,4,113.4,1
New York City,12777940480,12777940451,12581332957,0,4,47.8,1
New York City,12987220918,12987220918,42521149,1,0,37.0,1
New York City,13070335217,5490639636,5490639635,1,0,34.9,1
