city,k,d,status
Amsterdam,1,46173228,affected
Amsterdam,1,46173879,witness
Amsterdam,1,46188193,witness
Amsterdam,1,46202403,witness
Amsterdam,1,46203773,witness
Amsterdam,1,46203826,witness
Amsterdam,1,46210174,witness
Amsterdam,1,46226051,witness
Amsterdam,1,46232048,witness
Amsterdam,1,46233564,witness
Amsterdam,1,46241980,witness
Amsterdam,1,46245091,witness
Amsterdam,1,46245850,affected
Amsterdam,1,46254018,affected
Amsterdam,1,46262650,affected
Amsterdam,1,46268854,affected
Amsterdam,1,46268858,witness
Amsterdam,1,46285788,witness
Amsterdam,1,46292054,witness
Amsterdam,1,46304102,affected
Amsterdam,1,46310386,witness
Amsterdam,1,46311221,affected
Amsterdam,1,46311892,witness
Amsterdam,1,46315759,affected
Amsterdam,1,46322718,affected
Amsterdam,1,46322722,witness
Amsterdam,1,46325460,witness
Amsterdam,1,46330371,witness
Amsterdam,1,46342863,witness
Amsterdam,1,46345386,witness
Amsterdam,1,46346389,witness
Amsterdam,1,46346468,affected
Amsterdam,1,46351114,witness
Amsterdam,1,46359172,witness
Amsterdam,1,46363900,witness
Amsterdam,1,46365716,witness
Amsterdam,1,46367399,witness
Amsterdam,1,46369747,witness
Amsterdam,1,46384590,witness
Amsterdam,1,46385113,witness
Amsterdam,1,46386984,witness
Amsterdam,1,46390320,witness
Amsterdam,1,46404184,witness
Amsterdam,1,46404755,witness
Amsterdam,1,46410375,witness
Amsterdam,1,46415865,witness
Amsterdam,1,46420912,witness
Amsterdam,1,46424348,witness
Amsterdam,1,46427763,witness
Amsterdam,1,46429656,witness
Amsterdam,1,46430099,witness
Amsterdam,1,46432455,witness
Amsterdam,1,46434295,affected
Amsterdam,1,46435511,affected
Amsterdam,1,46450028,affected
Amsterdam,1,46451017,witness
Amsterdam,1,46463601,witness
Amsterdam,1,46471597,affected
Amsterdam,1,46472711,witness
Amsterdam,1,46472779,witness
Amsterdam,1,46478508,affected
Amsterdam,1,46485162,witness
Amsterdam,1,46514542,witness
Amsterdam,1,46514806,witness
Amsterdam,1,46520014,affected
Amsterdam,1,46535755,witness
Amsterdam,1,46548464,witness
Amsterdam,1,46548744,witness
Amsterdam,1,46553708,witness
Amsterdam,1,46555663,witness
Amsterdam,1,280989731,witness
Amsterdam,1,292241354,witness
Amsterdam,1,401352873,affected
Amsterdam,1,420241704,witness
Amsterdam,1,456854630,witness
Amsterdam,1,504576044,witness
Amsterdam,1,636093337,witness
Amsterdam,1,810541337,witness
Amsterdam,1,814763666,witness
Amsterdam,1,830007801,affected
Amsterdam,1,885659107,witness
Amsterdam,1,1025242720,witness
Amsterdam,1,1032858490,witness
Amsterdam,1,1224210135,witness
Amsterdam,1,1284046432,witness
Amsterdam,1,1575311685,witness
Amsterdam,1,1587421936,affected
Amsterdam,1,1615543977,witness
Amsterdam,1,1638916771,witness
Amsterdam,1,1673410150,affected
Amsterdam,1,1718573622,affected
Amsterdam,1,1764586015,affected
Amsterdam,1,1976839543,witness
Amsterdam,1,2028093778,witness
Amsterdam,1,2053253428,affected
Amsterdam,1,2304048772,witness
Amsterdam,1,2801224787,witness
Amsterdam,1,2882580890,affected
Amsterdam,1,3167200102,witness
Amsterdam,1,3188225066,witness
Amsterdam,1,3300515578,witness
Amsterdam,1,3416675263,witness
Amsterdam,1,3752782350,witness
Amsterdam,1,4053664514,witness
Amsterdam,1,4333085459,witness
Amsterdam,1,4921687164,affected
Amsterdam,1,5805453834,witness
Amsterdam,1,5856758093,affected
Amsterdam,1,6066265670,witness
Amsterdam,1,6149973645,witness
Amsterdam,1,6459278056,affected
Amsterdam,1,6472987925,affected
Amsterdam,1,6949019795,witness
Amsterdam,1,7042586056,witness
Amsterdam,1,7552907634,affected
Amsterdam,1,7800918439,witness
Amsterdam,1,7883614520,affected
Amsterdam,1,7920375542,affected
Amsterdam,1,7926245407,witness
Amsterdam,1,8036446607,witness
Amsterdam,1,8116544761,witness
Amsterdam,1,8718272188,witness
Amsterdam,1,8942712546,witness
Amsterdam,1,9476330484,witness
Amsterdam,1,10058947369,affected
Amsterdam,1,11029570311,witness
Amsterdam,1,11962862993,affected
Amsterdam,3,26585460,witness
Amsterdam,3,46173228,witness
Amsterdam,3,46173879,witness
Amsterdam,3,46209547,witness
Amsterdam,3,46210174,witness
Amsterdam,3,46226051,witness
Amsterdam,3,46232048,witness
Amsterdam,3,46233564,witness
Amsterdam,3,46244938,witness
Amsterdam,3,46245091,witness
Amsterdam,3,46245850,affected
Amsterdam,3,46254018,witness
Amsterdam,3,46262650,affected
Amsterdam,3,46268854,affected
Amsterdam,3,46276656,witness
Amsterdam,3,46283554,witness
Amsterdam,3,46288279,witness
Amsterdam,3,46289604,witness
Amsterdam,3,46306163,witness
Amsterdam,3,46312105,witness
Amsterdam,3,46315539,witness
Amsterdam,3,46315759,affected
Amsterdam,3,46326107,witness
Amsterdam,3,46348398,affected
Amsterdam,3,46351114,witness
Amsterdam,3,46359172,witness
Amsterdam,3,46361614,witness
Amsterdam,3,46366150,affected
Amsterdam,3,46383015,witness
Amsterdam,3,46385113,witness
Amsterdam,3,46386984,witness
Amsterdam,3,46404672,witness
Amsterdam,3,46410367,witness
Amsterdam,3,46410375,witness
Amsterdam,3,46415865,witness
Amsterdam,3,46420912,witness
Amsterdam,3,46424348,witness
Amsterdam,3,46432836,witness
Amsterdam,3,46463601,witness
Amsterdam,3,46471597,affected
Amsterdam,3,46472711,witness
Amsterdam,3,46478508,affected
Amsterdam,3,46512176,witness
Amsterdam,3,46514542,witness
Amsterdam,3,46520014,witness
Amsterdam,3,46548464,witness
Amsterdam,3,46548744,witness
Amsterdam,3,46553708,witness
Amsterdam,3,292241354,witness
Amsterdam,3,295085734,witness
Amsterdam,3,303203391,witness
Amsterdam,3,330033173,witness
Amsterdam,3,401352873,affected
Amsterdam,3,420241704,witness
Amsterdam,3,504576044,witness
Amsterdam,3,617025696,affected
Amsterdam,3,810541337,witness
Amsterdam,3,922662498,witness
Amsterdam,3,1025242720,witness
Amsterdam,3,1032858490,witness
Amsterdam,3,1042870353,witness
Amsterdam,3,1224210135,witness
Amsterdam,3,1525015190,witness
Amsterdam,3,1575311685,witness
Amsterdam,3,1587421936,affected
Amsterdam,3,1625112157,witness
Amsterdam,3,1638916771,witness
Amsterdam,3,1673410150,witness
Amsterdam,3,1718573622,witness
Amsterdam,3,1764586015,affected
Amsterdam,3,1891957960,witness
Amsterdam,3,2016695185,affected
Amsterdam,3,2053253428,witness
Amsterdam,3,2102754850,witness
Amsterdam,3,2396583192,witness
Amsterdam,3,2767260184,witness
Amsterdam,3,2772719489,witness
Amsterdam,3,2801224787,witness
Amsterdam,3,2821156677,affected
Amsterdam,3,2822146021,witness
Amsterdam,3,2882580890,witness
Amsterdam,3,3167200102,witness
Amsterdam,3,3295119971,witness
Amsterdam,3,3898433611,witness
Amsterdam,3,4541539713,witness
Amsterdam,3,4799100471,witness
Amsterdam,3,4847860136,affected
Amsterdam,3,4921687164,affected
Amsterdam,3,5705913800,witness
Amsterdam,3,5856758093,affected
Amsterdam,3,5911917067,affected
Amsterdam,3,6249848704,witness
Amsterdam,3,6472987925,witness
Amsterdam,3,6867794194,witness
Amsterdam,3,6904057007,witness
Amsterdam,3,6949019795,witness
Amsterdam,3,7093136772,witness
Amsterdam,3,7552907634,affected
Amsterdam,3,7883614520,affected
Amsterdam,3,7920375542,affected
Amsterdam,3,7997216056,affected
Amsterdam,3,8116544761,witness
Amsterdam,3,8441540293,witness
Amsterdam,3,8745641794,witness
Amsterdam,3,8942712546,witness
Amsterdam,3,9794426407,witness
Amsterdam,3,10058947369,affected
Amsterdam,3,10894631392,witness
Amsterdam,3,11029570311,witness
Amsterdam,3,11029986849,witness
Amsterdam,3,11224390095,witness
Amsterdam,3,11962862993,affected
Amsterdam,3,12072406522,witness
Amsterdam,3,12922375582,witness
Barcelona,1,30236779,witness
Barcelona,1,30237479,witness
Barcelona,1,30237772,witness
Barcelona,1,30238025,witness
Barcelona,1,30242759,witness
Barcelona,1,30242764,witness
Barcelona,1,30243889,witness
Barcelona,1,30244000,witness
Barcelona,1,30247027,witness
Barcelona,1,30248312,witness
Barcelona,1,30248550,witness
Barcelona,1,30253297,witness
Barcelona,1,30254011,witness
Barcelona,1,30254082,witness
Barcelona,1,30254089,witness
Barcelona,1,30254596,witness
Barcelona,1,30254613,witness
Barcelona,1,30264420,witness
Barcelona,1,30264555,witness
Barcelona,1,30294332,witness
Barcelona,1,30294673,witness
Barcelona,1,30295335,witness
Barcelona,1,30295408,witness
Barcelona,1,30296347,witness
Barcelona,1,30297272,witness
Barcelona,1,30312388,witness
Barcelona,1,30312481,witness
Barcelona,1,30312952,witness
Barcelona,1,30313171,witness
Barcelona,1,30313182,witness
Barcelona,1,30314638,witness
Barcelona,1,30343467,witness
Barcelona,1,30553748,witness
Barcelona,1,30555974,witness
Barcelona,1,30960786,witness
Barcelona,1,35120255,witness
Barcelona,1,91783971,witness
Barcelona,1,126797329,witness
Barcelona,1,253790706,affected
Barcelona,1,258359387,witness
Barcelona,1,260723600,witness
Barcelona,1,273102085,witness
Barcelona,1,288024527,witness
Barcelona,1,301572279,witness
Barcelona,1,330417668,witness
Barcelona,1,364720256,witness
Barcelona,1,365564404,witness
Barcelona,1,376748008,witness
Barcelona,1,387127535,witness
Barcelona,1,390057404,witness
Barcelona,1,390227080,witness
Barcelona,1,412436543,witness
Barcelona,1,412453203,witness
Barcelona,1,415716567,witness
Barcelona,1,416012211,witness
Barcelona,1,417972197,witness
Barcelona,1,417979586,witness
Barcelona,1,430757826,witness
Barcelona,1,442540276,witness
Barcelona,1,457394433,witness
Barcelona,1,537861932,witness
Barcelona,1,541644020,witness
Barcelona,1,552884560,witness
Barcelona,1,557230343,witness
Barcelona,1,559424463,witness
Barcelona,1,559787230,witness
Barcelona,1,568495538,witness
Barcelona,1,568847334,witness
Barcelona,1,598224964,witness
Barcelona,1,700938101,witness
Barcelona,1,760332207,witness
Barcelona,1,772984585,affected
Barcelona,1,797498302,witness
Barcelona,1,955030275,witness
Barcelona,1,960625586,affected
Barcelona,1,998615790,witness
Barcelona,1,1075221588,witness
Barcelona,1,1148143947,affected
Barcelona,1,1299613770,affected
Barcelona,1,1363598881,witness
Barcelona,1,1368967593,witness
Barcelona,1,1374757788,affected
Barcelona,1,1479334732,witness
Barcelona,1,1532752080,witness
Barcelona,1,1610134825,witness
Barcelona,1,1622477296,witness
Barcelona,1,1787518046,witness
Barcelona,1,1840721017,witness
Barcelona,1,1912198618,witness
Barcelona,1,1912611158,witness
Barcelona,1,2087205008,witness
Barcelona,1,2128042600,witness
Barcelona,1,2128051855,witness
Barcelona,1,2262659438,witness
Barcelona,1,2268659706,witness
Barcelona,1,2293731650,witness
Barcelona,1,2593809553,witness
Barcelona,1,2610196546,witness
Barcelona,1,2677447194,witness
Barcelona,1,2749938625,witness
Barcelona,1,2777318575,witness
Barcelona,1,2888571943,witness
Barcelona,1,2972809856,witness
Barcelona,1,3199153776,witness
Barcelona,1,3215617656,affected
Barcelona,1,3528888206,witness
Barcelona,1,3683481332,witness
Barcelona,1,3934957720,witness
Barcelona,1,4234151123,witness
Barcelona,1,4318089939,affected
Barcelona,1,4485344001,witness
Barcelona,1,4541533775,affected
Barcelona,1,4653143524,witness
Barcelona,1,4834268092,witness
Barcelona,1,4965780374,witness
Barcelona,1,4968308518,affected
Barcelona,1,5247256771,witness
Barcelona,1,5908351895,witness
Barcelona,1,6066409948,affected
Barcelona,1,6842012554,affected
Barcelona,1,7507211789,witness
Barcelona,1,7526485262,witness
Barcelona,1,9388663514,witness
Barcelona,1,11374707215,witness
Barcelona,1,12966750100,witness
Barcelona,3,21638855,witness
Barcelona,3,30227399,witness
Barcelona,3,30242764,witness
Barcelona,3,30254011,witness
Barcelona,3,30254613,witness
Barcelona,3,30294673,witness
Barcelona,3,30296347,witness
Barcelona,3,30296368,witness
Barcelona,3,30297272,witness
Barcelona,3,30312952,witness
Barcelona,3,30343467,witness
Barcelona,3,35120255,witness
Barcelona,3,60969514,witness
Barcelona,3,258359387,witness
Barcelona,3,312680287,witness
Barcelona,3,340195871,witness
Barcelona,3,359099426,witness
Barcelona,3,364719899,witness
Barcelona,3,366222990,witness
Barcelona,3,387127535,witness
Barcelona,3,390227097,witness
Barcelona,3,416523682,witness
Barcelona,3,430757826,witness
Barcelona,3,457394433,witness
Barcelona,3,481146996,affected
Barcelona,3,535228353,witness
Barcelona,3,537861932,witness
Barcelona,3,541644020,witness
Barcelona,3,552884560,witness
Barcelona,3,576583334,witness
Barcelona,3,582874668,witness
Barcelona,3,598224964,witness
Barcelona,3,600466257,witness
Barcelona,3,601047993,witness
Barcelona,3,634519971,witness
Barcelona,3,668513854,witness
Barcelona,3,692807356,affected
Barcelona,3,771231881,witness
Barcelona,3,977641428,witness
Barcelona,3,998615790,witness
Barcelona,3,1148143947,affected
Barcelona,3,1299373047,witness
Barcelona,3,1374636541,witness
Barcelona,3,1421429965,witness
Barcelona,3,1500032696,witness
Barcelona,3,1532752080,witness
Barcelona,3,1610134825,witness
Barcelona,3,1613677358,witness
Barcelona,3,1622477296,witness
Barcelona,3,1708943419,witness
Barcelona,3,1853174728,witness
Barcelona,3,1912198618,witness
Barcelona,3,1912611158,witness
Barcelona,3,2087205008,witness
Barcelona,3,2087205009,witness
Barcelona,3,2128042600,witness
Barcelona,3,2268659706,witness
Barcelona,3,2593809553,witness
Barcelona,3,2677447194,witness
Barcelona,3,2706292285,witness
Barcelona,3,2972809856,witness
Barcelona,3,3005325699,witness
Barcelona,3,3044253138,witness
Barcelona,3,3048076640,witness
Barcelona,3,3129196084,witness
Barcelona,3,3215617656,witness
Barcelona,3,3528888206,witness
Barcelona,3,3635761667,witness
Barcelona,3,3805966095,witness
Barcelona,3,3856010100,witness
Barcelona,3,4139421839,affected
Barcelona,3,4159251102,witness
Barcelona,3,4182135640,witness
Barcelona,3,4222897297,witness
Barcelona,3,4252472568,witness
Barcelona,3,4318089939,affected
Barcelona,3,4343830708,witness
Barcelona,3,4461889412,witness
Barcelona,3,4541533775,affected
Barcelona,3,4968308518,affected
Barcelona,3,5023791993,witness
Barcelona,3,5159196081,witness
Barcelona,3,5247256771,witness
Barcelona,3,5767709820,witness
Barcelona,3,6066409948,affected
Barcelona,3,6082812857,witness
Barcelona,3,6842012554,witness
Barcelona,3,6978253606,witness
Barcelona,3,7252348260,witness
Barcelona,3,7252348348,witness
Barcelona,3,7324925163,witness
Barcelona,3,8384828362,witness
Barcelona,3,9458274498,witness
Barcelona,3,11020963045,witness
Barcelona,3,11374707215,witness
Paris,1,361058,witness
Paris,1,361125,witness
Paris,1,368064,affected
Paris,1,442296,witness
Paris,1,4616565,witness
Paris,1,15378804,witness
Paris,1,15378831,witness
Paris,1,21657548,witness
Paris,1,21732950,witness
Paris,1,24910433,witness
Paris,1,24912984,witness
Paris,1,24984664,witness
Paris,1,25002683,witness
Paris,1,25033084,witness
Paris,1,25103068,witness
Paris,1,25190627,witness
Paris,1,25207350,witness
Paris,1,25253764,witness
Paris,1,25255893,affected
Paris,1,25554459,witness
Paris,1,26401695,witness
Paris,1,26551726,witness
Paris,1,26588359,witness
Paris,1,27117336,witness
Paris,1,27180828,witness
Paris,1,27234189,witness
Paris,1,27234216,witness
Paris,1,27234737,witness
Paris,1,27234947,witness
