level,node,kappa,p,B,events,phat
zone,21638855,2,0.1,30000,3579,0.1193
zone,30227399,2,0.1,30000,3206,0.10686666666666667
zone,30236779,4,0.1,30000,80,0.0026666666666666666
zone,30237479,5,0.1,30000,0,0.0
zone,30237587,50,0.1,30000,0,0.0
zone,30237772,3,0.1,30000,60,0.002
zone,30238025,4,0.1,30000,10,0.0003333333333333333
zone,30242759,4,0.1,30000,36,0.0012
zone,30242764,2,0.1,30000,387,0.0129
zone,30243889,3,0.1,30000,134,0.0044666666666666665
zone,30244000,3,0.1,30000,428,0.014266666666666667
zone,30246671,3,0.1,30000,959,0.031966666666666664
zone,30247027,4,0.1,30000,380,0.012666666666666666
zone,30248312,3,0.1,30000,301,0.010033333333333333
zone,30248550,3,0.1,30000,147,0.0049
zone,30253297,3,0.1,30000,762,0.0254
zone,30253333,1,0.1,30000,7168,0.23893333333333333
zone,30254011,2,0.1,30000,4266,0.1422
zone,30254082,3,0.1,30000,47,0.0015666666666666667
zone,30254089,4,0.1,30000,7,0.00023333333333333333
zone,30254596,3,0.1,30000,535,0.017833333333333333
zone,30254613,2,0.1,30000,4572,0.1524
zone,30254627,5,0.1,30000,80,0.0026666666666666666
zone,30264420,3,0.1,30000,632,0.021066666666666668
zone,30264555,3,0.1,30000,82,0.0027333333333333333
zone,30294332,4,0.1,30000,95,0.0031666666666666666
zone,30294550,4,0.1,30000,909,0.0303
zone,30294569,4,0.1,30000,136,0.004533333333333334
zone,30294656,1,0.1,30000,3623,0.12076666666666666
zone,30294673,2,0.1,30000,808,0.026933333333333333
zone,30295335,4,0.1,30000,20,0.0006666666666666666
zone,30295408,4,0.1,30000,53,0.0017666666666666666
zone,30296347,2,0.1,30000,4813,0.16043333333333334
zone,30296368,2,0.1,30000,1671,0.0557
zone,30297272,2,0.1,30000,5463,0.1821
zone,30312388,3,0.1,30000,1140,0.038
zone,30312481,3,0.1,30000,66,0.0022
zone,30312952,2,0.1,30000,465,0.0155
zone,30313171,3,0.1,30000,57,0.0019
zone,30313182,4,0.1,30000,9,0.0003
zone,30314638,3,0.1,30000,1022,0.03406666666666667
zone,30315481,3,0.1,30000,1091,0.036366666666666665
zone,30333441,1,0.1,30000,6289,0.20963333333333334
zone,30343459,3,0.1,30000,1864,0.06213333333333333
zone,30343467,2,0.1,30000,2714,0.09046666666666667
zone,30553748,4,0.1,30000,11,0.00036666666666666667
zone,30555974,3,0.1,30000,96,0.0032
zone,30556617,1,0.1,30000,3807,0.1269
zone,30558257,3,0.1,30000,416,0.013866666666666666
zone,30617337,1,0.1,30000,6461,0.21536666666666668
zone,30960639,1,0.1,30000,9023,0.3007666666666667
zone,30960786,4,0.1,30000,200,0.006666666666666667
zone,30960805,1,0.1,30000,6686,0.22286666666666666
zone,35120255,2,0.1,30000,8691,0.2897
zone,60969514,2,0.1,30000,1266,0.0422
zone,91783971,5,0.1,30000,6,0.0002
zone,126797329,4,0.1,30000,6,0.0002
zone,168529698,4,0.1,30000,1645,0.05483333333333333
zone,252826185,3,0.1,30000,124,0.0041333333333333335
zone,253790706,4,0.1,30000,351,0.0117
zone,258359387,2,0.1,30000,417,0.0139
zone,260723600,50,0.1,30000,0,0.0
zone,269379908,5,0.1,30000,11,0.00036666666666666667
zone,273102085,3,0.1,30000,2346,0.0782
zone,288024527,3,0.1,30000,131,0.004366666666666666
zone,301572279,4,0.1,30000,21,0.0007
zone,312680287,2,0.1,30000,2894,0.09646666666666667
zone,319600517,3,0.1,30000,1138,0.03793333333333333
zone,330028856,4,0.1,30000,36,0.0012
zone,330417668,4,0.1,30000,26,0.0008666666666666666
zone,340195871,2,0.1,30000,2169,0.0723
zone,358505142,3,0.1,30000,113,0.003766666666666667
zone,359099426,2,0.1,30000,985,0.03283333333333333
zone,359235499,5,0.1,30000,31,0.0010333333333333334
zone,364719899,2,0.1,30000,399,0.0133
zone,364720256,3,0.1,30000,396,0.0132
zone,365564404,4,0.1,30000,45,0.0015
zone,366065833,4,0.1,30000,187,0.006233333333333333
zone,366222990,2,0.1,30000,2262,0.0754
zone,376748008,4,0.1,30000,268,0.008933333333333333
zone,387127535,2,0.1,30000,1452,0.0484
zone,387127546,3,0.1,30000,569,0.018966666666666666
zone,390057404,4,0.1,30000,55,0.0018333333333333333
zone,390227080,5,0.1,30000,12,0.0004
zone,390227097,2,0.1,30000,1077,0.0359
zone,395305579,1,0.1,30000,5669,0.18896666666666667
zone,412436543,3,0.1,30000,770,0.025666666666666667
zone,412449528,5,0.1,30000,1,3.3333333333333335e-05
zone,412453203,5,0.1,30000,63,0.0021
zone,415716567,3,0.1,30000,321,0.0107
zone,416012211,4,0.1,30000,303,0.0101
zone,416523682,2,0.1,30000,3238,0.10793333333333334
zone,417972197,3,0.1,30000,897,0.0299
zone,417979586,4,0.1,30000,135,0.0045
zone,430757826,2,0.1,30000,4066,0.13553333333333334
zone,442540276,4,0.1,30000,18,0.0006
zone,457394433,2,0.1,30000,1686,0.0562
zone,478855374,3,0.1,30000,740,0.024666666666666667
zone,481146996,2,0.1,30000,684,0.0228
zone,482511822,3,0.1,30000,644,0.021466666666666665
zone,512003089,1,0.1,30000,12046,0.40153333333333335
zone,534332665,1,0.1,30000,10790,0.3596666666666667
zone,534367705,3,0.1,30000,301,0.010033333333333333
zone,535228353,2,0.1,30000,416,0.013866666666666666
zone,537861932,2,0.1,30000,19918,0.6639333333333334
zone,541644020,2,0.1,30000,738,0.0246
zone,552884560,2,0.1,30000,4121,0.13736666666666666
zone,552884596,3,0.1,30000,3029,0.10096666666666666
zone,557230343,3,0.1,30000,292,0.009733333333333333
zone,559410525,5,0.1,30000,37,0.0012333333333333332
zone,559424463,4,0.1,30000,136,0.004533333333333334
zone,559765962,50,0.1,30000,0,0.0
zone,559787230,4,0.1,30000,10,0.0003333333333333333
zone,566450893,1,0.1,30000,23693,0.7897666666666666
zone,567448762,3,0.1,30000,577,0.019233333333333335
zone,568495538,3,0.1,30000,158,0.005266666666666667
zone,568847334,3,0.1,30000,287,0.009566666666666666
zone,572064585,3,0.1,30000,1060,0.035333333333333335
zone,575781189,3,0.1,30000,138,0.0046
zone,575827094,4,0.1,30000,371,0.012366666666666666
zone,576583334,2,0.1,30000,10959,0.3653
zone,582874668,2,0.1,30000,18712,0.6237333333333334
zone,597218402,1,0.1,30000,4356,0.1452
zone,598224964,2,0.1,30000,691,0.023033333333333333
zone,600466257,2,0.1,30000,3018,0.1006
zone,601047993,2,0.1,30000,1731,0.0577
zone,630583121,4,0.1,30000,205,0.006833333333333334
zone,634519971,2,0.1,30000,1936,0.06453333333333333
zone,658169112,1,0.1,30000,21671,0.7223666666666667
zone,668513854,2,0.1,30000,1995,0.0665
zone,674780716,1,0.1,30000,3968,0.13226666666666667
zone,692807356,2,0.1,30000,1011,0.0337
zone,700938101,3,0.1,30000,201,0.0067
zone,760332207,4,0.1,30000,97,0.0032333333333333333
zone,771231881,2,0.1,30000,6129,0.2043
zone,772984585,4,0.1,30000,428,0.014266666666666667
zone,779227747,3,0.1,30000,1029,0.0343
zone,790034779,4,0.1,30000,99,0.0033
zone,797498302,5,0.1,30000,10,0.0003333333333333333
zone,955030275,3,0.1,30000,544,0.018133333333333335
zone,960625586,3,0.1,30000,663,0.0221
zone,977641428,2,0.1,30000,4593,0.1531
zone,998615790,2,0.1,30000,1488,0.0496
zone,1001228568,1,0.1,30000,5194,0.17313333333333333
zone,1071400892,1,0.1,30000,21006,0.7002
zone,1075221588,4,0.1,30000,89,0.0029666666666666665
zone,1126640615,3,0.1,30000,136,0.004533333333333334
zone,1148143947,2,0.1,30000,1106,0.036866666666666666
zone,1156424413,4,0.1,30000,738,0.0246
zone,1297521253,3,0.1,30000,447,0.0149
zone,1299373047,2,0.1,30000,1270,0.042333333333333334
zone,1299414813,1,0.1,30000,13950,0.465
zone,1299613770,5,0.1,30000,64,0.0021333333333333334
zone,1350170559,1,0.1,30000,7180,0.23933333333333334
zone,1350466761,1,0.1,30000,20613,0.6871
zone,1350686227,1,0.1,30000,25160,0.8386666666666667
zone,1363598881,4,0.1,30000,2867,0.09556666666666666
zone,1368967593,3,0.1,30000,504,0.0168
zone,1374636541,2,0.1,30000,2273,0.07576666666666666
zone,1374757788,3,0.1,30000,112,0.0037333333333333333
zone,1404124266,3,0.1,30000,1928,0.06426666666666667
zone,1421429965,2,0.1,30000,480,0.016
zone,1479334732,3,0.1,30000,51,0.0017
zone,1483794695,4,0.1,30000,39,0.0013
zone,1484164576,1,0.1,30000,4683,0.1561
zone,1500032696,2,0.1,30000,503,0.016766666666666666
zone,1501426310,1,0.1,30000,8843,0.2947666666666667
zone,1501426324,1,0.1,30000,9067,0.30223333333333335
zone,1532752080,2,0.1,30000,782,0.026066666666666665
zone,1563547709,1,0.1,30000,9295,0.30983333333333335
zone,1599256602,1,0.1,30000,20366,0.6788666666666666
zone,1610134825,2,0.1,30000,11270,0.37566666666666665
zone,1613677358,2,0.1,30000,12534,0.4178
zone,1622477296,2,0.1,30000,12265,0.4088333333333333
zone,1684889804,4,0.1,30000,1828,0.06093333333333333
zone,1695282555,4,0.1,30000,142,0.004733333333333333
zone,1708943419,2,0.1,30000,5991,0.1997
zone,1710758986,3,0.1,30000,72,0.0024
zone,1772825227,1,0.1,30000,24054,0.8018
zone,1787518046,3,0.1,30000,1668,0.0556
zone,1817382286,1,0.1,30000,24145,0.8048333333333333
zone,1840721017,3,0.1,30000,1163,0.038766666666666665
zone,1853174728,2,0.1,30000,5511,0.1837
zone,1912198618,2,0.1,30000,4140,0.138
zone,1912611158,2,0.1,30000,1760,0.058666666666666666
zone,2020404323,3,0.1,30000,610,0.02033333333333333
zone,2087205008,2,0.1,30000,1491,0.0497
zone,2087205009,2,0.1,30000,461,0.015366666666666667
zone,2111268464,0,0.1,30000,30000,1.0
zone,2128042600,2,0.1,30000,7374,0.2458
zone,2128051855,3,0.1,30000,5795,0.19316666666666665
zone,2239783567,1,0.1,30000,15981,0.5327
zone,2262659438,4,0.1,30000,11,0.00036666666666666667
zone,2267226601,3,0.1,30000,1344,0.0448
zone,2268659706,2,0.1,30000,753,0.0251
zone,2279497342,1,0.1,30000,6155,0.20516666666666666
zone,2293731650,3,0.1,30000,97,0.0032333333333333333
zone,2293731677,3,0.1,30000,165,0.0055
zone,2445068410,3,0.1,30000,2726,0.09086666666666667
zone,2529520245,1,0.1,30000,5307,0.1769
zone,2589060116,4,0.1,30000,248,0.008266666666666667
zone,2593809553,2,0.1,30000,496,0.016533333333333334
zone,2610196546,4,0.1,30000,164,0.0054666666666666665
zone,2677447194,2,0.1,30000,814,0.027133333333333332
zone,2703938174,1,0.1,30000,7468,0.24893333333333334
zone,2706190120,3,0.1,30000,710,0.023666666666666666
zone,2706292285,2,0.1,30000,1690,0.05633333333333333
zone,2749938625,4,0.1,30000,29,0.0009666666666666667
zone,2777318575,4,0.1,30000,20,0.0006666666666666666
zone,2819073400,3,0.1,30000,175,0.005833333333333334
zone,2871521890,1,0.1,30000,17052,0.5684
zone,2888571943,5,0.1,30000,17,0.0005666666666666667
zone,2972809856,2,0.1,30000,4677,0.1559
zone,3005325699,2,0.1,30000,1401,0.0467
zone,3044253138,2,0.1,30000,1819,0.06063333333333333
zone,3048076640,2,0.1,30000,2085,0.0695
zone,3059542904,4,0.1,30000,224,0.007466666666666667
zone,3129196084,2,0.1,30000,793,0.026433333333333333
zone,3199153776,3,0.1,30000,1725,0.0575
zone,3215617656,2,0.1,30000,823,0.027433333333333334
zone,3502009394,1,0.1,30000,7129,0.23763333333333334
zone,3517445007,4,0.1,30000,35,0.0011666666666666668
zone,3528888206,2,0.1,30000,12657,0.4219
zone,3635761667,2,0.1,30000,1660,0.05533333333333333
zone,3683481332,3,0.1,30000,1574,0.05246666666666667
zone,3805966095,2,0.1,30000,1647,0.0549
zone,3856010100,2,0.1,30000,1415,0.04716666666666667
zone,3934957720,3,0.1,30000,975,0.0325
zone,4112026312,1,0.1,30000,14667,0.4889
zone,4139421839,2,0.1,30000,9972,0.3324
zone,4159251102,2,0.1,30000,5346,0.1782
zone,4182135640,2,0.1,30000,1925,0.06416666666666666
zone,4222897297,2,0.1,30000,365,0.012166666666666666
zone,4234151123,3,0.1,30000,542,0.01806666666666667
zone,4251161420,1,0.1,30000,17395,0.5798333333333333
zone,4251161454,1,0.1,30000,13038,0.4346
zone,4251794080,1,0.1,30000,7976,0.26586666666666664
zone,4252472568,2,0.1,30000,811,0.027033333333333333
zone,4253982146,1,0.1,30000,16928,0.5642666666666667
zone,4318089939,2,0.1,30000,621,0.0207
zone,4318409704,1,0.1,30000,4244,0.14146666666666666
zone,4332587258,3,0.1,30000,556,0.018533333333333332
zone,4343830708,2,0.1,30000,4683,0.1561
zone,4387293874,1,0.1,30000,18705,0.6235
zone,4387294101,1,0.1,30000,15910,0.5303333333333333
zone,4454226365,1,0.1,30000,6439,0.21463333333333334
zone,4461889412,2,0.1,30000,2505,0.0835
zone,4485344001,3,0.1,30000,538,0.017933333333333332
zone,4541533775,2,0.1,30000,2996,0.09986666666666667
zone,4578927239,4,0.1,30000,205,0.006833333333333334
zone,4587765907,3,0.1,30000,1309,0.043633333333333336
zone,4653143524,3,0.1,30000,5969,0.19896666666666665
zone,4708182445,3,0.1,30000,855,0.0285
zone,4793246800,3,0.1,30000,50,0.0016666666666666668
zone,4834268092,4,0.1,30000,14,0.00046666666666666666
zone,4922624387,5,0.1,30000,15,0.0005
zone,4965780374,3,0.1,30000,1932,0.0644
zone,4968308518,2,0.1,30000,2088,0.0696
zone,4992914467,3,0.1,30000,78,0.0026
zone,5023791993,2,0.1,30000,1833,0.0611
zone,5159196081,2,0.1,30000,6800,0.22666666666666666
zone,5247256771,2,0.1,30000,12511,0.4170333333333333
zone,5767709820,2,0.1,30000,4058,0.13526666666666667
zone,5908351895,3,0.1,30000,575,0.019166666666666665
zone,6066409948,2,0.1,30000,1259,0.041966666666666666
zone,6082812857,2,0.1,30000,1999,0.06663333333333334
zone,6103772408,1,0.1,30000,12890,0.42966666666666664
zone,6218672137,4,0.1,30000,365,0.012166666666666666
zone,6297842341,3,0.1,30000,137,0.004566666666666667
zone,6382607320,50,0.1,30000,0,0.0
zone,6382660358,1,0.1,30000,10381,0.34603333333333336
zone,6413205593,1,0.1,30000,7068,0.2356
zone,6424992738,3,0.1,30000,934,0.031133333333333332
zone,6485634277,1,0.1,30000,19343,0.6447666666666667
zone,6842012554,2,0.1,30000,1322,0.044066666666666664
zone,6943141604,3,0.1,30000,311,0.010366666666666666
zone,6978253606,2,0.1,30000,1966,0.06553333333333333
zone,7078045305,1,0.1,30000,8243,0.27476666666666666
zone,7252348260,2,0.1,30000,563,0.018766666666666668
zone,7252348348,2,0.1,30000,593,0.019766666666666665
zone,7302027445,1,0.1,30000,17054,0.5684666666666667
zone,7324925163,2,0.1,30000,540,0.018
zone,7507211789,3,0.1,30000,70,0.0023333333333333335
zone,7526485262,3,0.1,30000,199,0.006633333333333333
zone,7538034841,1,0.1,30000,6580,0.21933333333333332
zone,8180254364,3,0.1,30000,2259,0.0753
zone,8194970010,3,0.1,30000,85,0.0028333333333333335
zone,8384828362,2,0.1,30000,9203,0.3067666666666667
zone,9077221631,3,0.1,30000,7323,0.2441
zone,9388663514,3,0.1,30000,225,0.0075
zone,9442685034,1,0.1,30000,16165,0.5388333333333334
zone,9458274498,2,0.1,30000,11975,0.39916666666666667
zone,9465476414,1,0.1,30000,3782,0.12606666666666666
zone,9572309680,3,0.1,30000,1825,0.060833333333333336
zone,10121889968,3,0.1,30000,281,0.009366666666666667
zone,11020963045,2,0.1,30000,449,0.014966666666666666
zone,11242746353,4,0.1,30000,120,0.004
zone,11244319933,1,0.1,30000,3808,0.12693333333333334
zone,11283451737,1,0.1,30000,4326,0.1442
zone,11374707215,2,0.1,30000,919,0.030633333333333332
zone,12208571890,3,0.1,30000,208,0.006933333333333333
zone,12469949090,1,0.1,30000,7519,0.2506333333333333
zone,12475540910,1,0.1,30000,22270,0.7423333333333333
zone,12859738691,1,0.1,30000,9517,0.3172333333333333
zone,12966750100,3,0.1,30000,461,0.015366666666666667
class,-1,0,0.1,30000,30000,1.0
class,-1,1,0.1,30000,642146,0.3822297619047619
class,-1,2,0.1,30000,329929,0.11576456140350877
class,-1,3,0.1,30000,75006,0.029072093023255814
class,-1,4,0.1,30000,13526,0.009017333333333334
class,-1,5,0.1,30000,347,0.0008897435897435897
class,-1,inf,0.1,30000,0,0.0
zone,21638855,2,0.05,50000,1001,0.02002
zone,30227399,2,0.05,50000,1417,0.02834
zone,30236779,4,0.05,50000,2,4e-05
zone,30237479,5,0.05,50000,0,0.0
zone,30237587,50,0.05,50000,0,0.0
zone,30237772,3,0.05,50000,12,0.00024
zone,30238025,4,0.05,50000,1,2e-05
zone,30242759,4,0.05,50000,5,0.0001
zone,30242764,2,0.05,50000,151,0.00302
zone,30243889,3,0.05,50000,20,0.0004
zone,30244000,3,0.05,50000,58,0.00116
zone,30246671,3,0.05,50000,145,0.0029
zone,30247027,4,0.05,50000,36,0.00072
zone,30248312,3,0.05,50000,21,0.00042
zone,30248550,3,0.05,50000,22,0.00044
zone,30253297,3,0.05,50000,122,0.00244
zone,30253333,1,0.05,50000,5614,0.11228
zone,30254011,2,0.05,50000,1349,0.02698
zone,30254082,3,0.05,50000,4,8e-05
zone,30254089,4,0.05,50000,0,0.0
zone,30254596,3,0.05,50000,59,0.00118
zone,30254613,2,0.05,50000,1406,0.02812
zone,30254627,5,0.05,50000,1,2e-05
zone,30264420,3,0.05,50000,89,0.00178
zone,30264555,3,0.05,50000,12,0.00024
zone,30294332,4,0.05,50000,4,8e-05
zone,30294550,4,0.05,50000,87,0.00174
zone,30294569,4,0.05,50000,7,0.00014
zone,30294656,1,0.05,50000,2673,0.05346
zone,30294673,2,0.05,50000,274,0.00548
zone,30295335,4,0.05,50000,3,6e-05
zone,30295408,4,0.05,50000,2,4e-05
zone,30296347,2,0.05,50000,1475,0.0295
zone,30296368,2,0.05,50000,501,0.01002
zone,30297272,2,0.05,50000,1790,0.0358
zone,30312388,3,0.05,50000,167,0.00334
zone,30312481,3,0.05,50000,10,0.0002
zone,30312952,2,0.05,50000,130,0.0026
zone,30313171,3,0.05,50000,7,0.00014
zone,30313182,4,0.05,50000,0,0.0
zone,30314638,3,0.05,50000,152,0.00304
zone,30315481,3,0.05,50000,81,0.00162
zone,30333441,1,0.05,50000,3792,0.07584
zone,30343459,3,0.05,50000,249,0.00498
zone,30343467,2,0.05,50000,576,0.01152
zone,30553748,4,0.05,50000,1,2e-05
zone,30555974,3,0.05,50000,13,0.00026
zone,30556617,1,0.05,50000,2811,0.05622
zone,30558257,3,0.05,50000,74,0.00148
zone,30617337,1,0.05,50000,5065,0.1013
zone,30960639,1,0.05,50000,7470,0.1494
zone,30960786,4,0.05,50000,22,0.00044
zone,30960805,1,0.05,50000,5233,0.10466
zone,35120255,2,0.05,50000,4035,0.0807
zone,60969514,2,0.05,50000,343,0.00686
zone,91783971,5,0.05,50000,0,0.0
zone,126797329,4,0.05,50000,0,0.0
zone,168529698,4,0.05,50000,88,0.00176
zone,252826185,3,0.05,50000,18,0.00036
zone,253790706,4,0.05,50000,37,0.00074
zone,258359387,2,0.05,50000,133,0.00266
zone,260723600,50,0.05,50000,0,0.0
zone,269379908,5,0.05,50000,0,0.0
zone,273102085,3,0.05,50000,571,0.01142
zone,288024527,3,0.05,50000,20,0.0004
zone,301572279,4,0.05,50000,2,4e-05
zone,312680287,2,0.05,50000,761,0.01522
zone,319600517,3,0.05,50000,200,0.004
zone,330028856,4,0.05,50000,1,2e-05
zone,330417668,4,0.05,50000,2,4e-05
zone,340195871,2,0.05,50000,925,0.0185
zone,358505142,3,0.05,50000,8,0.00016
zone,359099426,2,0.05,50000,300,0.006
zone,359235499,5,0.05,50000,0,0.0
zone,364719899,2,0.05,50000,143,0.00286
zone,364720256,3,0.05,50000,60,0.0012
zone,365564404,4,0.05,50000,2,4e-05
zone,366065833,4,0.05,50000,5,0.0001
zone,366222990,2,0.05,50000,640,0.0128
zone,376748008,4,0.05,50000,8,0.00016
zone,387127535,2,0.05,50000,468,0.00936
zone,387127546,3,0.05,50000,69,0.00138
zone,390057404,4,0.05,50000,0,0.0
zone,390227080,5,0.05,50000,0,0.0
zone,390227097,2,0.05,50000,347,0.00694
zone,395305579,1,0.05,50000,3212,0.06424
zone,412436543,3,0.05,50000,68,0.00136
zone,412449528,5,0.05,50000,0,0.0
zone,412453203,5,0.05,50000,0,0.0
zone,415716567,3,0.05,50000,37,0.00074
zone,416012211,4,0.05,50000,22,0.00044
zone,416523682,2,0.05,50000,1344,0.02688
zone,417972197,3,0.05,50000,199,0.00398
zone,417979586,4,0.05,50000,6,0.00012
zone,430757826,2,0.05,50000,1271,0.02542
zone,442540276,4,0.05,50000,2,4e-05
zone,457394433,2,0.05,50000,417,0.00834
zone,478855374,3,0.05,50000,88,0.00176
zone,481146996,2,0.05,50000,156,0.00312
zone,482511822,3,0.05,50000,93,0.00186
zone,512003089,1,0.05,50000,9835,0.1967
zone,534332665,1,0.05,50000,5734,0.11468
zone,534367705,3,0.05,50000,48,0.00096
zone,535228353,2,0.05,50000,137,0.00274
zone,537861932,2,0.05,50000,13191,0.26382
zone,541644020,2,0.05,50000,175,0.0035
zone,552884560,2,0.05,50000,1228,0.02456
zone,552884596,3,0.05,50000,453,0.00906
zone,557230343,3,0.05,50000,31,0.00062
zone,559410525,5,0.05,50000,3,6e-05
zone,559424463,4,0.05,50000,10,0.0002
zone,559765962,50,0.05,50000,0,0.0
zone,559787230,4,0.05,50000,2,4e-05
zone,566450893,1,0.05,50000,20673,0.41346
zone,567448762,3,0.05,50000,100,0.002
zone,568495538,3,0.05,50000,24,0.00048
zone,568847334,3,0.05,50000,30,0.0006
zone,572064585,3,0.05,50000,106,0.00212
zone,575781189,3,0.05,50000,9,0.00018
zone,575827094,4,0.05,50000,10,0.0002
zone,576583334,2,0.05,50000,2801,0.05602
zone,582874668,2,0.05,50000,11913,0.23826
zone,597218402,1,0.05,50000,3013,0.06026
zone,598224964,2,0.05,50000,172,0.00344
zone,600466257,2,0.05,50000,630,0.0126
zone,601047993,2,0.05,50000,584,0.01168
zone,630583121,4,0.05,50000,25,0.0005
zone,634519971,2,0.05,50000,507,0.01014
zone,658169112,1,0.05,50000,16789,0.33578
zone,668513854,2,0.05,50000,683,0.01366
zone,674780716,1,0.05,50000,2924,0.05848
zone,692807356,2,0.05,50000,318,0.00636
zone,700938101,3,0.05,50000,35,0.0007
zone,760332207,4,0.05,50000,11,0.00022
zone,771231881,2,0.05,50000,2304,0.04608
zone,772984585,4,0.05,50000,25,0.0005
zone,779227747,3,0.05,50000,117,0.00234
zone,790034779,4,0.05,50000,5,0.0001
zone,797498302,5,0.05,50000,0,0.0
zone,955030275,3,0.05,50000,82,0.00164
zone,960625586,3,0.05,50000,91,0.00182
zone,977641428,2,0.05,50000,2068,0.04136
zone,998615790,2,0.05,50000,468,0.00936
zone,1001228568,1,0.05,50000,3371,0.06742
zone,1071400892,1,0.05,50000,16177,0.32354
zone,1075221588,4,0.05,50000,7,0.00014
zone,1126640615,3,0.05,50000,31,0.00062
zone,1148143947,2,0.05,50000,338,0.00676
zone,1156424413,4,0.05,50000,50,0.001
zone,1297521253,3,0.05,50000,38,0.00076
zone,1299373047,2,0.05,50000,472,0.00944
zone,1299414813,1,0.05,50000,11951,0.23902
zone,1299613770,5,0.05,50000,1,2e-05
zone,1350170559,1,0.05,50000,5341,0.10682
zone,1350466761,1,0.05,50000,15853,0.31706
zone,1350686227,1,0.05,50000,23149,0.46298
zone,1363598881,4,0.05,50000,364,0.00728
zone,1368967593,3,0.05,50000,99,0.00198
zone,1374636541,2,0.05,50000,554,0.01108
zone,1374757788,3,0.05,50000,14,0.00028
zone,1404124266,3,0.05,50000,272,0.00544
zone,1421429965,2,0.05,50000,170,0.0034
zone,1479334732,3,0.05,50000,6,0.00012
zone,1483794695,4,0.05,50000,5,0.0001
zone,1484164576,1,0.05,50000,3220,0.0644
zone,1500032696,2,0.05,50000,157,0.00314
zone,1501426310,1,0.05,50000,6099,0.12198
zone,1501426324,1,0.05,50000,6220,0.1244
